locus_id,accession,gene_gi,scaffold_id,start,stop,strand,gene_id,gene_name,gene_desc,cog,cog_fun,cog_desc,tigr_fam,tigr_roles,go,ec,ec_desc
208941,YP_009239.1,46578431.0,1944,18688,18470,-,DVU0014,infA-1,translation initiation factor IF-1 (TIGR),COG361,J,Translation initiation factor 1 (IF-1),TIGR00008 translation initiation factor IF-1 [infA],Protein synthesis:Translation factors,"GO:0006413,GO:0003723,GO:0008547,GO:0003743,GO:0003924",3.6.5.3,Protein-synthesizing GTPase.
208942,YP_009240.1,46578432.0,1944,19595,18804,-,DVU0015,lgt,prolipoprotein diacylglyceryl transferase (TIGR),COG682,M,Prolipoprotein diacylglyceryltransferase,TIGR00544 prolipoprotein diacylglyceryl transferase [lgt],Protein fate:Protein modification and repair,"GO:0009249,GO:0016020,GO:0016740,GO:0008961",2.4.99.-,
208943,YP_009241.1,46578433.0,1944,19735,19839,+,DVU0016,DVU0016,hypothetical protein (TIGR),,,,,,,,
410409,,,1944,19895,19970,+,DVUtRNA-Ala-1,tRNA-Ala,tRNA with anticodon GGC for Ala (VIMSS-AUTO),,,,,,,,
208945,YP_009243.1,46578435.0,1944,20136,22385,+,DVU0018,DVU0018,"methyl-accepting chemotaxis protein, putative (TIGR)",COG840,NT,Methyl-accepting chemotaxis protein,,,"GO:0007165,GO:0006935,GO:0016020,GO:0004871",,
208946,YP_009244.1,46578436.0,1944,23110,22502,-,DVU0019,ngr,nigerythrin (TIGR),COG1592,C,Rubrerythrin,,,"GO:0006118,GO:0009055,GO:0046914",,
208948,YP_009245.1,46578437.0,1944,23367,23221,-,DVU0020,DVU0020,hypothetical protein (TIGR),,,,,,,,
208949,,,1944,24589,23612,-,,Protein-coding gene,conserved domain protein (TIGR),,,,,,,,
208950,YP_009247.1,46578439.0,1944,27238,24857,-,DVU0022,DVU0022,HAMP domain/GGDEF domain/EAL domain protein (TIGR),COG5001,T,"Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain",TIGR00254 diguanylate cyclase (GGDEF) domain,Signal transduction:Other,"GO:0007165,GO:0009190,GO:0007242,GO:0016020,GO:0016849,GO:0004871",,
208952,YP_009249.1,46578441.0,1944,27468,27638,+,DVU0024,DVU0024,conserved hypothetical protein (TIGR),,,,,,"GO:0003726,GO:0003723",,
208953,YP_009250.1,46578442.0,1944,29873,27714,-,DVU0025,DVU0025,sensory box histidine kinase (TIGR),COG3852,T,"Signal transduction histidine kinase, nitrogen specific","TIGR00229 PAS domain S-box protein,TIGR00229 PAS domain S-box protein",Regulatory functions:Small molecule interactions,"GO:0018106,GO:0006355,GO:0000160,GO:0016020,GO:0000155,GO:0005524",,
410410,,,1944,30047,30122,+,DVUtRNA-Ala-2,tRNA-Ala,tRNA with anticodon GGC for Ala (VIMSS-AUTO),,,,,,,,
208954,YP_009251.1,46578443.0,1944,30487,31059,+,DVU0026,DVU0026,conserved hypothetical protein (TIGR),COG412,Q,Dienelactone hydrolase and related enzymes,,,GO:0016787,,
208955,YP_009252.1,46578444.0,1944,32702,31278,-,DVU0027,DVU0027,"membrane protein, putative (TIGR)",COG1055,P,Na+/H+ antiporter NhaD and related arsenite permeases,,,,,
208956,YP_009253.1,46578445.0,1944,33232,33609,+,DVU0028,csaA,chaperone CsaA (TIGR),COG73,R,EMAP domain,TIGR02222 export-related chaperone CsaA [csaA],Protein fate:Protein and peptide secretion and trafficking,"GO:0015031,GO:0008565,GO:0000049,GO:0004825",6.1.1.10,Methionine--tRNA ligase.
208957,YP_009254.1,46578446.0,1944,33986,35698,+,DVU0029,DVU0029,hydantoinase/oxoprolinase family protein (TIGR),COG145,EQ,"N-methylhydantoinase A/acetone carboxylase, beta subunit",,,GO:0016787,,
11399142,,,1944,35772,36176,+,,Protein-coding gene,,,,,,,,,
408289,YP_009255.1,46578447.0,1944,37984,36482,-,DVU0030,DVU0030,"transcriptional regulator, GntR family (TIGR)",COG1167,KE,Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs,,,"GO:0009058,GO:0006355,GO:0005622,GO:0003700,GO:0004069,GO:0030170",2.6.1.1,Aspartate transaminase.
11399143,,,1944,38262,38435,+,,Protein-coding gene,,,,,,,,,
208959,,,1944,38435,39172,+,,Protein-coding gene,AzlC family protein (TIGR),COG1296,E,Predicted branched-chain amino acid permease (azaleucine resistance),,,,,
208960,YP_009257.1,46578449.0,1944,39162,39497,+,DVU0032,DVU0032,conserved hypothetical protein (TIGR),COG4392,S,Predicted membrane protein,,,,,
208961,YP_009258.1,46578450.0,1944,39764,40378,+,DVU0033,DVU0033,isochorismatase family protein (TIGR),COG1335,Q,Amidases related to nicotinamidase,,,"GO:0008152,GO:0003824",,
208962,YP_009259.1,46578451.0,1944,40526,41311,+,DVU0034,DVU0034,DSBA-like thioredoxin domain protein (TIGR),COG1651,O,Protein-disulfide isomerase,,,"GO:0030288,GO:0015035",,
208963,YP_009260.1,46578452.0,1944,41873,41700,-,DVU0035,DVU0035,hypothetical protein (TIGR),,,,,,,,
208964,YP_009261.1,46578453.0,1944,42742,42287,-,DVU0036,DVU0036,hypothetical protein (TIGR),,,,,,,,
208965,YP_009262.1,46578454.0,1944,43340,42924,-,DVU0037,DVU0037,conserved hypothetical protein (TIGR),COG1683,S,Uncharacterized conserved protein,,,GO:0004731,2.4.2.1,Purine-nucleoside phosphorylase.
208966,YP_009263.1,46578455.0,1944,45528,43678,-,DVU0038,DVU0038,acyltransferase domain protein (TIGR),COG3176,R,Putative hemolysin,,,"GO:0008152,GO:0008415",,
208967,YP_009264.1,46578456.0,1944,45740,46270,+,DVU0039,DVU0039,"C4-type zinc finger protein, DksA/TraR family (TIGR)",COG1734,T,DnaK suppressor protein,,,GO:0008270,,
208968,YP_009265.1,46578457.0,1944,46450,47064,+,DVU0040,DVU0040,hypothetical protein (TIGR),,,,,,,,
208969,YP_009266.1,46578458.0,1944,49020,47257,-,DVU0041,DVU0041,"transglycosylase, SLT family (TIGR)",COG1388,M,FOG: LysM repeat,,,GO:0016998,3.2.1.-,
208970,,,1944,49565,50314,+,,Protein-coding gene,"RNA methyltransferase, TrmH family, group 3 (TIGR)",COG566,J,rRNA methylases,"TIGR00186 RNA methyltransferase, TrmH family, group 3",Protein synthesis:tRNA and rRNA base modification,"GO:0009451,GO:0006396,GO:0003723,GO:0008173",2.1.1.-,
208971,YP_009268.1,46578460.0,1944,50823,50554,-,DVU0043,fliQ,flagellar biosynthetic protein FliQ (TIGR),COG1987,NU,"Flagellar biosynthesis pathway, component FliQ",TIGR01402 flagellar biosynthetic protein FliQ [fliQ],Cellular processes:Chemotaxis and motility,"GO:0009306,GO:0019861,GO:0016021",,
208972,YP_009269.1,46578461.0,1944,51547,50840,-,DVU0044,fliP,flagellar biosynthetic protein fliP (TIGR),COG1338,NU,"Flagellar biosynthesis pathway, component FliP",TIGR01103 flagellar biosynthetic protein FliP [fliP],Cellular processes:Chemotaxis and motility,"GO:0009306,GO:0016020,GO:0004806",3.1.1.3,Triacylglycerol lipase.
208973,YP_009270.1,46578462.0,1944,52097,51576,-,DVU0045,DVU0045,"flagellar biosynthesis protein, FliO, putative (TIGR)",COG3190,N,Flagellar biogenesis protein,TIGR03500 flagellar biosynthetic protein FliO [fliO],,"GO:0043064,GO:0019861,GO:0016021",,
208974,YP_009271.1,46578463.0,1944,52602,52090,-,DVU0046,fliN,flagellar motor switch protein FliN (TIGR),COG1886,NU,Flagellar motor switch/type III secretory pathway protein,TIGR02480 flagellar motor switch protein FliN [fliN],Cellular processes:Chemotaxis and motility,"GO:0001539,GO:0006935,GO:0016020,GO:0009425,GO:0003774",,
208975,YP_009272.1,46578464.0,1944,53143,52628,-,DVU0047,DVU0047,flagellar protein FliL (TIGR),COG1580,N,Flagellar basal body-associated protein,,,"GO:0006935,GO:0006810,GO:0001539,GO:0009425,GO:0016020,GO:0005215",,
208976,YP_009273.1,46578465.0,1944,53904,53164,-,DVU0048,DVU0048,chemotaxis protein MotB (TIGR),COG1360,N,Flagellar motor protein,,,GO:0009279,,
208977,YP_009274.1,46578466.0,1944,54995,53901,-,DVU0049,DVU0049,OmpA family protein (TIGR),COG1360,N,Flagellar motor protein,,,GO:0009279,,
208978,YP_009275.1,46578467.0,1944,55765,55007,-,DVU0050,motA-1,chemotaxis protein MotA (TIGR),COG1291,N,Flagellar motor component,,,"GO:0006810,GO:0001539,GO:0006935,GO:0016020,GO:0003774,GO:0008565",,
208979,,,1944,56754,56041,-,,Protein-coding gene,conserved hypothetical protein TIGR00044 (TIGR),COG325,R,Predicted enzyme with a TIM-barrel fold,"TIGR00044 pyridoxal phosphate enzyme, YggS family",Unknown function:Enzymes of unknown specificity,,2.7.3.-,
208980,YP_009277.1,46578469.0,1944,57773,56847,-,DVU0052,era,GTP-binding protein Era (TIGR),COG1159,R,GTPase,"TIGR00231 small GTP-binding protein domain,TIGR00436 GTP-binding protein Era [era]",Protein synthesis:Other,"GO:0015684,GO:0009276,GO:0005622,GO:0016021,GO:0005525,GO:0003723,GO:0015093",,
208981,,,1944,58305,60077,+,,Protein-coding gene,"sulfate permease, putative (TIGR)",COG659,P,Sulfate permease and related transporters (MFS superfamily),,,"GO:0008272,GO:0006810,GO:0016021,GO:0008271,GO:0005215",,
208982,YP_009279.1,46578471.0,1944,60507,61766,+,DVU0054,DVU0054,dihydrouridine synthase family protein (TIGR),COG42,J,tRNA-dihydrouridine synthase,,,"GO:0008033,GO:0050660,GO:0016491",1.-.-.-,
208983,YP_009280.1,46578472.0,1944,61763,62635,+,DVU0055,ispH,hydroxymethylbutenyl pyrophosphate reductase (TIGR),COG761,IM,Penicillin tolerance protein,TIGR00216 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [ispH],"Biosynthesis of cofactors, prosthetic groups, and carriers:Other","GO:0019288,GO:0051745",1.17.1.2,4-hydroxy-3-methylbut-2-enyl diphosphate reductase.
208984,YP_009281.1,46578473.0,1944,62676,63629,+,DVU0056,cheV-1,chemotaxis protein CheV (TIGR),COG835,NT,Chemotaxis signal transduction protein,,,"GO:0006355,GO:0000160,GO:0006935,GO:0005622,GO:0000156",2.7.3.-,
208985,YP_009282.1,46578474.0,1944,63889,64530,+,DVU0057,DVU0057,"transcriptional regulator, TetR family (TIGR)",COG1309,K,Transcriptional regulator,,,"GO:0006355,GO:0016481,GO:0003700,GO:0016566",,
208986,YP_009283.1,46578475.0,1944,64527,65678,+,DVU0058,DVU0058,"efflux transporter, RND family, MFP subunit (TIGR)",COG845,M,Membrane-fusion protein,"TIGR01730 efflux transporter, RND family, MFP subunit",Transport and binding proteins:Unknown substrate,"GO:0009306,GO:0016020,GO:0008565",,
208987,YP_009284.1,46578476.0,1944,65675,69385,+,DVU0059,DVU0059,AcrB/AcrD/AcrF family protein (TIGR),COG841,V,Cation/multidrug efflux pump,,,,,
208988,YP_009285.1,46578477.0,1944,69540,70724,+,DVU0060,acrA,"efflux transporter, RND family, MFP subunit (TIGR)",COG845,M,Membrane-fusion protein,"TIGR01730 efflux transporter, RND family, MFP subunit",Transport and binding proteins:Unknown substrate,"GO:0009306,GO:0016020,GO:0008565",,
208989,YP_009286.1,46578478.0,1944,70740,73880,+,DVU0061,DVU0061,"multidrug resistance protein, putative (TIGR)",COG841,V,Cation/multidrug efflux pump,"TIGR00915 RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family",Transport and binding proteins:Unknown substrate,"GO:0006810,GO:0016021,GO:0005215",,
208990,YP_009287.1,46578479.0,1944,73877,75391,+,DVU0062,DVU0062,"RND efflux system, outer membrane protein, NodT family (TIGR)",COG1538,MU,Outer membrane protein,"TIGR01845 efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family",Transport and binding proteins:Porins,"GO:0006810,GO:0016020,GO:0008289,GO:0005215",,
208991,YP_009288.1,46578480.0,1944,75421,75861,+,DVU0063,DVU0063,"transcriptional regulator, MarR family (TIGR)",COG1846,K,Transcriptional regulators,,,"GO:0006355,GO:0005622,GO:0003700",,
208992,YP_009289.1,46578481.0,1944,75950,76858,+,DVU0064,DVU0064,hypothetical protein (TIGR),,,,,,,,
208993,YP_009290.1,46578482.0,1944,77110,77907,+,DVU0065,DVU0065,hypothetical protein (TIGR),,,,,,"GO:0015992,GO:0016469,GO:0016820",,
208994,YP_009291.1,46578483.0,1944,78122,78691,+,DVU0066,DVU0066,cytidine/deoxycytidylate deaminase domain protein (TIGR),COG590,FJ,Cytosine/adenosine deaminases,,,"GO:0008270,GO:0004132",3.5.4.12,dCMP deaminase.
208995,YP_009292.1,46578484.0,1944,79170,78862,-,DVU0067,DVU0067,hypothetical protein (TIGR),,,,,,,,
208996,YP_009293.1,46578485.0,1944,81082,79547,-,DVU0068,DVU0068,conserved hypothetical protein (TIGR),COG2403,R,Predicted GTPase,,,,,
208997,YP_009294.1,46578486.0,1944,85666,81263,-,DVU0069,DVU0069,hypothetical protein (TIGR),COG4717,S,Uncharacterized conserved protein,,,,,
208998,YP_009295.1,46578487.0,1944,87021,85666,-,DVU0070,yhaO,Ser/Thr protein phosphatase family protein (TIGR),COG420,L,DNA repair exonuclease,,,GO:0016787,,
208999,YP_009296.1,46578488.0,1944,87539,88699,+,DVU0071,dinP,DNA polymerase IV (TIGR),COG389,L,Nucleotidyltransferase/DNA polymerase involved in DNA repair,,,"GO:0006281,GO:0003894,GO:0003890,GO:0003895,GO:0016000,GO:0019984,GO:0016448,GO:0016452,GO:0015999,GO:0016449,GO:0016451,GO:0003893,GO:0003889,GO:0003891,GO:0016450",2.7.7.7,DNA-directed DNA polymerase.
209000,YP_009297.1,46578489.0,1944,89105,89884,+,DVU0072,mpg,glucose-1-phosphate cytidylyl-transferase (TIGR),COG1208,MJ,"Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)",TIGR02623 glucose-1-phosphate cytidylyltransferase [rfbF],Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,"GO:0009058,GO:0047343",2.7.7.33,Glucose-1-phosphate cytidylyltransferase.
209001,YP_009298.1,46578490.0,1944,89894,91000,+,DVU0073,DVU0073,"CDP-glucose-4,6-dehydratase, putative (TIGR)",COG1088,M,"dTDP-D-glucose 4,6-dehydratase","TIGR02622 CDP-glucose 4,6-dehydratase [rfbG]",Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,"GO:0044237,GO:0045226,GO:0008831,GO:0050662,GO:0047733",4.2.1.45,"CDP-glucose 4,6-dehydratase."
209002,YP_009299.1,46578491.0,1944,90988,91431,+,DVU0074,DVU0074,polysaccharide biosynthesis domain protein (TIGR),COG1898,M,"dTDP-4-dehydrorhamnose 3,5-epimerase and related enzymes",,,"GO:0009103,GO:0008830",5.1.3.13,"dTDP-4-dehydrorhamnose 3,5-epimerase."
209003,YP_009300.1,46578492.0,1944,91765,92898,+,DVU0075,rfbE,"aminotransferase, DegT/DnrJ/EryC1/StrS family (TIGR)",COG399,M,Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis,,,"GO:0003824,GO:0030170",2.6.1.-,
209004,YP_009301.2,304569677.0,1944,92916,93953,+,DVU0076,DVU0076,"glycosyl transferase, group 2 family protein (TIGR)",COG463,M,Glycosyltransferases involved in cell wall biogenesis,,,,,
209005,YP_009302.1,46578494.0,1944,94316,95398,+,DVU0077,DVU0077,conserved hypothetical protein (TIGR),COG4129,S,Predicted membrane protein,,,,,
209006,YP_009303.1,46578495.0,1944,95445,95786,+,DVU0078,DVU0078,conserved hypothetical protein (TIGR),COG4095,S,Uncharacterized conserved protein,,,,,
209007,YP_009304.1,46578496.0,1944,96159,96962,+,DVU0079,gufA,ZIP zinc transporter family protein (TIGR),COG428,P,Predicted divalent heavy-metal cations transporter,,,"GO:0030001,GO:0016020,GO:0046873",,
209008,YP_009305.1,46578497.0,1944,97000,98406,+,DVU0080,fumC,"fumarate hydratase, class II (TIGR)",COG114,C,Fumarase,"TIGR00979 fumarate hydratase, class II [fumC]",Energy metabolism:TCA cycle,"GO:0006106,GO:0006099,GO:0045239,GO:0004333",4.2.1.2,Fumarate hydratase.
209009,YP_009306.1,46578498.0,1944,100289,98559,-,DVU0081,DVU0081,sensory box histidine kinase/response regulator (TIGR),COG3852,T,"Signal transduction histidine kinase, nitrogen specific",TIGR00229 PAS domain S-box protein,Regulatory functions:Small molecule interactions,"GO:0018106,GO:0006355,GO:0000160,GO:0016020,GO:0000155,GO:0000156,GO:0005524",2.7.3.-,
209010,YP_009307.1,46578499.0,1944,101975,100383,-,DVU0082,DVU0082,conserved hypothetical protein (TIGR),COG702,MG,Predicted nucleoside-diphosphate-sugar epimerases,,,"GO:0044237,GO:0003824,GO:0050662",,
209011,YP_009308.1,46578500.0,1944,102105,102524,+,DVU0083,DVU0083,conserved hypothetical protein (TIGR),,,,,,,,
209012,YP_009309.1,46578501.0,1944,103648,102596,-,DVU0084,DVU0084,"translation initiation factor, aIF-2BI family, putative (TIGR)",COG182,J,"Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family","TIGR00512 S-methyl-5-thioribose-1-phosphate isomerase [mtnA],TIGR00524 eIF-2B alpha/beta/delta-related uncharacterized proteins",Amino acid biosynthesis:Aspartate family,"GO:0044249,GO:0046523",5.3.1.23,S-methyl-5-thioribose-1-phosphate isomerase.
209013,YP_009310.1,46578502.0,1944,104165,105409,+,DVU0085,trpB-1,"tryptophan synthase, beta subunit (TIGR)",COG133,E,Tryptophan synthase beta chain,"TIGR00263 tryptophan synthase, beta subunit [trpB]",Amino acid biosynthesis:Aromatic amino acid family,"GO:0006568,GO:0004834,GO:0030170",4.2.1.20,Tryptophan synthase.
409397,,,1944,105901,107441,+,Dv16SA,rrsA,16S ribosomal RNA (RefSeq),,,,,,,,
410411,,,1944,107515,107591,+,DVUtRNA-Ile-1,tRNA-Ile,tRNA with anticodon GAT for Ile (VIMSS-AUTO),,,,,,,,
410412,,,1944,107614,107689,+,DVUtRNA-Ala-3,tRNA-Ala,tRNA with anticodon TGC for Ala (VIMSS-AUTO),,,,,,,,
409392,,,1944,107842,110762,+,Dv23SA,rrl,23S ribosomal RNA (VIMSS-AUTO),,,,,,,,
409402,,,1944,110870,110986,+,Dv5SA,rrf,5S ribosomal RNA (VIMSS-AUTO),,,,,,,,
209016,YP_009312.1,46578504.0,1944,111902,112396,+,DVU0087,DVU0087,conserved domain protein (TIGR),COG3924,S,Predicted membrane protein,,,,,
209017,YP_009313.1,46578505.0,1944,112393,113880,+,DVU0088,DVU0088,Sodium/pantothenate symporter (TIGR),COG4145,H,Na+/panthothenate symporter,"TIGR00813 transporter, solute:sodium symporter (SSS) family,TIGR02119 sodium/pantothenate symporter [panF]",Transport and binding proteins:Other,"GO:0015887,GO:0006814,GO:0016021,GO:0009276,GO:0031402,GO:0015233,GO:0015081,GO:0003824",,
209018,YP_009314.1,46578506.0,1944,114739,113936,-,DVU0089,DVU0089,conserved hypothetical protein (TIGR),COG834,ET,"ABC-type amino acid transport/signal transduction systems, periplasmic component/domain",,,,,
209019,YP_009315.1,46578507.0,1944,115316,116287,+,DVU0090,wcaG,GDP-fucose synthetase (TIGR),COG451,MG,Nucleoside-diphosphate-sugar epimerases,,,"GO:0042351,GO:0045226,GO:0008831,GO:0050662,GO:0050577",1.1.1.271,GDP-L-fucose synthase.
209020,YP_009316.1,46578508.0,1944,116340,117062,+,DVU0091,DVU0091,conserved hypothetical protein (TIGR),,,,,,,,
209021,YP_009317.1,46578509.0,1944,120436,117119,-,DVU0092,DVU0092,sensory box histidine kinase (TIGR),COG3852,T,"Signal transduction histidine kinase, nitrogen specific",TIGR00229 PAS domain S-box protein,Regulatory functions:Small molecule interactions,"GO:0018106,GO:0000160,GO:0006355,GO:0016020,GO:0000155,GO:0005524",,
209022,YP_009318.1,46578510.0,1944,123142,120692,-,DVU0093,DVU0093,"conserved domain protein/glycosyl transferase, group 1 family protein (TIGR)",COG438,M,Glycosyltransferase,,,"GO:0009058,GO:0006260,GO:0003887,GO:0003677",,
209023,YP_009319.1,46578511.0,1944,123374,125536,+,DVU0094,DVU0094,methyl-accepting chemotaxis protein (TIGR),COG840,NT,Methyl-accepting chemotaxis protein,,,"GO:0007165,GO:0006935,GO:0016020,GO:0004871",,
209024,YP_009320.1,46578512.0,1944,126714,125677,-,DVU0095,potD-1,"polyamine ABC transporter, periplasmic polyamine-binding protein (TIGR)",COG687,E,Spermidine/putrescine-binding periplasmic protein,,,"GO:0006810,GO:0016020,GO:0030288,GO:0005215",,
209025,YP_009321.1,46578513.0,1944,127489,126716,-,DVU0096,potC,"polyamine ABC transporter, permease protein (TIGR)",COG1177,E,"ABC-type spermidine/putrescine transport system, permease component II",,,"GO:0006810,GO:0016020,GO:0009348,GO:0004585,GO:0005215",2.1.3.3,Ornithine carbamoyltransferase.
209026,YP_009322.1,46578514.0,1944,128379,127492,-,DVU0097,potB,"polyamine ABC transporter, permease protein (TIGR)",COG1176,E,"ABC-type spermidine/putrescine transport system, permease component I",,,"GO:0006810,GO:0016020,GO:0005215",,
209027,YP_009323.1,46578515.0,1944,129472,128366,-,DVU0098,potA,"polyamine ABC transporter, ATP-binding protein (TIGR)",COG3842,E,"ABC-type spermidine/putrescine transport systems, ATPase components","TIGR01187 polyamine ABC transporter, ATP-binding protein","Transport and binding proteins:Amino acids, peptides and amines","GO:0015846,GO:0043190,GO:0005524,GO:0015595,GO:0015594",3.6.3.31,Polyamine-transporting ATPase.
209028,YP_009324.1,46578516.0,1944,131050,129890,-,DVU0099,DVU0099,TonB domain protein (TIGR),COG810,M,"Periplasmic protein TonB, links inner and outer membranes",TIGR01352 TonB family C-terminal domain,Transport and binding proteins:Cations and iron carrying compounds,"GO:0015031,GO:0006826,GO:0016020,GO:0030288,GO:0005381,GO:0008565",,
209029,YP_009325.1,46578517.0,1944,131347,133296,+,DVU0100,DVU0100,TonB-dependent receptor (TIGR),COG4771,P,Outer membrane receptor for ferrienterochelin and colicins,,,"GO:0006810,GO:0016020,GO:0004872,GO:0005215",,
209030,YP_009326.1,46578518.0,1944,133407,134933,+,DVU0101,DVU0101,"methlytransferase, UbiE/COQ5 family (TIGR)",,,,,,"GO:0008152,GO:0008168",,
209031,YP_009327.1,46578519.0,1944,135121,136113,+,DVU0102,DVU0102,"cation ABC transporter, periplasmic binding protein (TIGR)",COG803,P,"ABC-type metal ion transport system, periplasmic component/surface adhesin",,,"GO:0030288,GO:0005488",,
209032,YP_009328.1,46578520.0,1944,136146,137087,+,DVU0103,fepC,"cation ABC transporter, ATP-binding protein, putative (TIGR)",COG1120,PH,"ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",,,"GO:0005524,GO:0015623",3.6.3.34,Iron-chelate-transporting ATPase.
209033,YP_009329.1,46578521.0,1944,137096,137932,+,DVU0104,DVU0104,"cation ABC transporter, permease protein, putative (TIGR)",COG1108,P,"ABC-type Mn2+/Zn2+ transport systems, permease components",,,"GO:0006810,GO:0016020,GO:0005524,GO:0042626",,
209035,YP_009330.1,46578522.0,1944,138910,138176,-,DVU0105,glnQ,"glutamine ABC transporter, ATP-binding protein (TIGR)",COG1126,E,"ABC-type polar amino acid transport system, ATPase component",,,"GO:0005524,GO:0015599,GO:0016887,GO:0015600,GO:0015597,GO:0015601,GO:0015598",3.6.3.21,Polar-amino-acid-transporting ATPase.
